country,newConfirmed,newFatalities,population,totalConfirmed,totalFatalities,totalRecovered
LB,8.842424242,0.193939394,6848925,30220.80816,300.0204082,16042.07755
LC,0.20212766,0,181889,50.26122449,0.236734694,30.51428571
LI,0.846938776,0.010204082,37910,254.1061224,2.481632653,201.0285714
LK,11.93125,0.06875,21670000,5347.028571,22.33877551,3791.673469
LR,5.402173913,0.358695652,4818977,939.9469388,57.57959184,718.2122449
LT,11.71875,0.475,2789533,9815.795918,127.1673469,3724.253061
LU,25.14197531,0.691358025,607728,9817.718367,136.1714286,7701.857143
LV,10.69607843,0.274509804,1926542,3331.628571,50.27346939,1021.942857
LY,5.55952381,0.119047619,6678567,23874.69796,326.4816327,12127.34694
MA,87.90909091,2.242424242,36029138,90520.29796,1565.902041,74420.68163
MC,0.656050955,0.031847134,38682,195.6571429,3.012244898,157.5795918
MD,123.0909091,4.353535354,3545883,37519.8,974.2571429,27873.3102
ME,3.582417582,0.098901099,622345,8230.844898,129.7183673,5600.620408
MG,15.15909091,0.136363636,26262368,9338.546939,122.2734694,8606.391837
MK,26.66875,1.2875,2082958,16595.66939,579.3183673,11976.77551
ML,22.61445783,1.313253012,19077690,2384.244898,110.0367347,2098.35102
MM,3.046511628,0.069767442,53708395,17055.98367,379.1877551,11470.06531
MN,2.11827957,0,3170208,278.4040816,0,198.4244898
MP,0.346153846,0.025641026,56882,50.05485232,2,18.06329114
MR,21.93617021,0.989361702,4403319,4920.240816,115.6938776,4074.130612
MS,0.126436782,0.011494253,5900,12.03265306,0.906122449,9.893877551
MT,6.555555556,0.090909091,483530,2629.910204,29.64897959,1975
MU,3.808988764,0.112359551,1265303,367.4693878,9.881632653,331.7591837
MV,20.53535354,0.080808081,515696,5915.693878,20.99591837,5200.302041
MW,7.506666667,0.08,18143315,3393.787755,100.4122449,2362.493878
MX,953.7763975,113.0559006,126190788,481956.1633,49863.85714,344040.8115
MY,50.20833333,0.714285714,31528585,16947.61633,157.9183673,13649.6
MZ,7.279069767,0.046511628,29495962,4917.220408,35.95918367,3846.677551
NA,0.361702128,0,2448255,5543.518367,55.74693878,4250.542857
NC,0.238636364,0,284060,23.34693878,0,21.9755102
NE,11.42045455,0.75,22442948,1091.204082,61.80816327,1008.8
NG,107,2.835443038,195874740,38151.87755,789.6326531,29298.9551
NI,20.28888889,0.711111111,6465513,3237,98.36326531,2221.771429
NL,283.9404762,35.35119048,17231017,140609.751,6313.783673,0
NO,51.0295858,1.390532544,5314336,13566.25306,254.5591837,10601.01304
NP,42.16025641,0.121794872,28087871,62604.78776,361.7102041,49148.39592
NZ,7.23125,0.1375,4885500,1339.612245,21.94693878,1280.297959
OM,153.9509202,0.699386503,4829483,65293.44082,568.3061224,57305.56327
PA,220.1414141,4.565656566,4176873,72515.65306,1718.779592,54693.23265
PE,2333.079208,69.14851485,31989256,494149.2776,19465.6898,394170.9388
PF,0.988888889,0,277679,2574.95102,11.44081633,1349.387755
PG,0.090909091,0,8606316,269.2244898,3.118367347,210.7714286
PH,160.5393939,6.642424242,106651922,174051.3673,3410.881633,136803.0245
PK,936.7073171,17.90243902,212215030,227156.9918,4706.093878,189994.5143
PL,289.9514563,12.24271845,37978548,175623.9184,3567.37551,98385.33469
